week_linear,first_day_of_week,Days3,Days4,Days5,Days6,Days7,DaysGT7
1,2019-01-02,0.774,0.207,0.0108,0.0026,0.0011,0.0044
2,2019-01-07,0.7990999999999999,0.1677,0.0258,0.0031,0.0013,0.0028
3,2019-01-14,0.6663,0.274,0.0459,0.0081,0.0018,0.0039
4,2019-01-22,0.7612,0.2028,0.0258,0.0053,0.0014,0.0035
5,2019-01-28,0.6473,0.2836,0.0556,0.0047,0.0039,0.0049
6,2019-02-04,0.5708000000000001,0.3019,0.0752,0.0269,0.0178,0.0074
7,2019-02-11,0.6676,0.2431,0.0544,0.0108,0.0033,0.0209
8,2019-02-19,0.7774,0.1908,0.0197,0.0068,9e-4,0.0044
9,2019-02-25,0.783,0.1767,0.0297,0.0032,0.0024,0.005
10,2019-03-04,0.7284,0.224,0.0279,0.0133,0.0016,0.0049
11,2019-03-11,0.7266,0.2406,0.0197,0.0066,0.0016,0.0049
12,2019-03-18,0.7995,0.1525,0.0327,0.0053,0.0016,0.0084
13,2019-03-25,0.6598999999999999,0.2947,0.0326,0.0057,0.0025,0.0045
14,2019-04-01,0.7341,0.2224,0.0301,0.0075,0.0017,0.0043
15,2019-04-08,0.7444000000000001,0.2261,0.0178,0.0047,0.0016,0.0054
16,2019-04-15,0.7750999999999999,0.1756,0.0394,0.0037,0.0012,0.005
17,2019-04-22,0.7957000000000001,0.1817,0.0139,0.0037,8e-4,0.0042
18,2019-04-29,0.7179,0.2548,0.0194,0.0031,0.0015,0.0033
19,2019-05-06,0.6763999999999999,0.2732,0.0351,0.0076,0.0039,0.0038
20,2019-05-13,0.7489,0.2031,0.0149,0.0257,0.0022,0.0053
21,2019-05-20,0.8246,0.1399,0.0227,0.0039,0.0037,0.0053
22,2019-05-28,0.8634999999999999,0.1111,0.0164,0.0037,0.0012,0.0041
23,2019-06-03,0.8061,0.1653,0.0212,0.0024,0.0011,0.0039
24,2019-06-10,0.8715,0.0797,0.0131,0.0179,0.0138,0.004
25,2019-06-17,0.7883,0.1959,0.0077,0.0024,0.0011,0.0045
26,2019-06-24,0.8845000000000001,0.0934,0.0123,0.0038,0.0011,0.0049
27,2019-07-01,0.9067000000000001,0.0703,0.0156,0.0025,0.0011,0.0037
28,2019-07-08,0.8609,0.118,0.0141,7e-4,0.0012,0.0051
29,2019-07-15,0.8361999999999999,0.1439,0.0094,0.0042,0.0017,0.0045
30,2019-07-22,0.8567,0.0962,0.0329,0.0072,0.003,0.0041
31,2019-07-29,0.8394999999999999,0.1396,0.0103,0.0045,0.0015,0.0048
32,2019-08-05,0.7551,0.1832,0.054,0.0028,0.001,0.004
33,2019-08-12,0.843,0.1178,0.0219,0.01,0.0022,0.0051
34,2019-08-19,0.8371000000000001,0.1464,0.0094,0.0026,7e-4,0.0038
35,2019-08-26,0.8628,0.1122,0.0163,0.0015,0.0015,0.0057
